DATA,LINHA,MARCA,PRODUTO,QTD.,TOTAL
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,1,"1.199,00"
02/01/2020,CELULARES,LG,LG - CELULAR LG K11 ALPHA X410 PTO RCELL,1,"799,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,1,"1.299,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J2 CORE J260 PRATA,1,"599,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - BOX PULSE SHOWER SP225,1,"49,90"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,1,"1.299,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,1,"1.299,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,1,"399,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - DVD PLAYER SP252,1,"119,90"
02/01/2020,INFORMATICA,HP,HP - IMPRESSORA DESKJET INK ADVANTAGE 2676 Y5Z00A,1,"284,05"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO3C PRETO,1,"299,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12+ X420BMW PLATINA,1,"899,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 COBRE,1,"699,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"899,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12 X420BMW AZUL,1,"899,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 COBRE,1,"699,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA AMPLIFICADA CA350 RECARREGAVEL,1,"649,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - SPEAKER BOOM BT520 BLUETOOTH,1,"159,00"
